"$State []","Freq [GHz]","DG []"
0,2,9.99906059167422
0,2.1,9.99056460717346
0,2.2,9.99124094840514
0,2.3,9.99270048933915
0,2.4,9.99423621048421
0,2.5,9.99591952573009
0,2.6,9.99747033291233
0,2.7,9.99856709422729
0,2.8,9.99919074719344
0,2.9,9.99950949963413
0,3,9.9996721379458
0,3.1,9.99976061329312
0,3.2,9.99981353494817
0,3.3,9.99984863496142
0,3.4,9.99987426204957
0,3.5,9.99989447448682
0,3.6,9.99991128120799
0,3.7,9.99992567802397
0,3.8,9.99993815894134
0,3.9,9.99994898059037
0,4,9.99995829960094
0,4.1,9.99996624037806
0,4.2,9.9999729243426
0,4.3,9.99997847877094
0,4.4,9.9999830359343
0,4.5,9.99998672859027
0,4.6,9.99998968496794
0,4.7,9.99999202465021
0,4.8,9.99999385579558
0,4.9,9.99999527366463
0,5,9.99999636021749
0,5.1,9.99999718449878
0,5.2,9.99999780354575
0,5.3,9.99999826360201
0,5.4,9.99999860147128
0,5.5,9.99999884589345
0,5.6,9.99999901886499
0,5.7,9.99999913685716
0,5.8,9.9999992119081
0,5.9,9.99999925258118
0,6,9.99999926479222
0,6.1,9.99999925251396
0,6.2,9.99999921836956
0,6.3,9.99999916412772
0,6.4,9.99999909111211
0,6.5,9.99999900053773
0,6.6,9.99999889378624
0,6.7,9.99999877263224
0,6.8,9.99999863943231
0,6.9,9.99999849728832
0,7,9.99999835019561
0,7.1,9.99999820318437
0,7.2,9.99999806245743
0,7.3,9.99999793551852
0,7.4,9.99999783126698
0,7.5,9.99999776000482
0,7.6,9.99999773325196
0,7.7,9.99999776318929
0,7.8,9.99999786144788
0,7.9,9.9999980368642
0,8,9.99999829182594
0,8.1,9.99999861718984
0,8.2,9.99999898691257
0,8.3,9.99999935591345
0,8.4,9.99999966748719
0,8.5,9.99999987536651
0,8.6,9.99999997251605
0,8.7,9.99999999774848
0,8.8,9.99999999991649
0,8.9,9.9999999992942
0,9,9.9999999972178
0,9.1,9.9999999971614
0,9.2,9.9999999991373
0,9.3,9.99999999995423
0,9.4,9.9999999999294
0,9.5,9.99999999854354
0,9.6,9.99999999304808
0,9.7,9.99999998349355
0,9.8,9.99999997141981
0,9.9,9.99999995230709
0,10,9.99999990642155
0,10.1,9.99999978320426
0,10.2,9.99999949049332
0,10.3,9.99999876974131
0,10.4,9.99999713524888
0,10.5,9.99999420004168
0,10.6,9.99999041691826
0,10.7,9.99998781721095
