"$State []","Freq [GHz]","dB(St(1,1)) []","dB(St(2,2)) []","dB(St(3,3)) []","dB(St(4,4)) []","dB(St(5,5)) []","dB(St(6,6)) []","dB(St(7,7)) []","dB(St(8,8)) []"
0,2,-4.6659420956591,-12.3015089151717,-6.16679194600124,-3.8192220433915,-4.49441546564027,-4.89381940062254,-7.12723975263858,-7.44408365820579
0,2.1,-5.55779879910486,-8.21798855976583,-5.37120707687407,-3.36696723013205,-5.39158425794316,-4.85274814086593,-6.96513561692436,-10.2329359305462
0,2.2,-6.05938395984787,-7.47760128713702,-5.30711376610373,-3.24810736775531,-5.76408097099034,-4.99954131733778,-7.12021089509594,-10.60977203284
0,2.3,-6.3443396671373,-7.77485736096354,-5.61168550225822,-3.42863961009274,-6.04132592345315,-5.26734703121178,-7.45780719871034,-11.2749931567859
0,2.4,-6.52815078220126,-8.52504527123022,-6.09632191091657,-3.76638308556102,-6.26979675271585,-5.58870125180863,-7.88889909690209,-12.1153615106583
0,2.5,-6.6607089252158,-9.6530907781591,-6.71688580862523,-4.23238610195996,-6.44344181981229,-5.93379978543966,-8.39106747424509,-12.8961011543246
0,2.6,-6.79064160556354,-11.0948899839525,-7.40868343777618,-4.75770528619761,-6.57552217832069,-6.27657459162702,-8.94071639418713,-13.3622314369453
0,2.7,-6.95761571400942,-12.6766849054392,-8.06685954348777,-5.23910846954138,-6.69802395935429,-6.59565918852426,-9.50157292809623,-13.4404925330144
0,2.8,-7.17595793982714,-14.1415298127,-8.61024309502231,-5.62318255608039,-6.84093645759469,-6.88346625063032,-10.0394221637386,-13.3282896484387
0,2.9,-7.43945199985814,-15.2914587669996,-9.03564114704823,-5.92605649255396,-7.01945997498696,-7.14715978208251,-10.5385904714956,-13.2724549135077
0,3,-7.73575207787816,-16.0824483295827,-9.38956324088113,-6.18529318891354,-7.23518767634563,-7.39950300985021,-11.0005914622671,-13.3977729712922
0,3.1,-8.05469910232419,-16.573836547703,-9.71711772524705,-6.42819750379543,-7.48254898008138,-7.65035552798141,-11.4331360000271,-13.721641314219
0,3.2,-8.38994002759523,-16.8391224477315,-10.0434045681719,-6.6681540235169,-7.7540084603263,-7.90446471336186,-11.8429830191754,-14.2143411424512
0,3.3,-8.73801430860505,-16.9326424901934,-10.3779139592249,-6.90921713571663,-8.04274296482138,-8.16301449390361,-12.2343831097016,-14.8357363327322
0,3.4,-9.09721011122418,-16.8952141991504,-10.7226374914151,-7.1494059268728,-8.34357657586448,-8.42561045841223,-12.609813548923,-15.5499253618951
0,3.5,-9.46678068623463,-16.7630667535574,-11.0771340270462,-7.38068864103655,-8.65303821918392,-8.69150047422741,-12.9708758366351,-16.3290480699707
0,3.6,-9.84650240414229,-16.5695111296462,-11.4406256121437,-7.58641821094514,-8.96906778729485,-8.96008202722586,-13.3188059988137,-17.1525993904442
0,3.7,-10.2364510589794,-16.3427601029014,-11.8125537659878,-7.76420298114599,-9.29063908665005,-9.23101748828261,-13.6546672737956,-18.0050222685956
0,3.8,-10.6368993374987,-16.1041349824878,-12.1926162088871,-8.0656377301278,-9.61742203834207,-9.5041954939659,-13.9793857866938,-18.8727115346859
0,3.9,-11.0482766105901,-15.8679947898257,-12.5807318755673,-8.51033238815893,-9.94952648666243,-9.77965825793646,-14.2937362616654,-19.7408396639606
0,4,-11.4711588920268,-15.6428922094045,-12.9770444649587,-8.89986907461981,-10.2873286300425,-10.0575395911873,-14.5983274832788,-20.5901771919517
0,4.1,-11.9062725508679,-15.4331343819505,-13.3819497851583,-9.24639723730663,-10.6313641575879,-10.3380232657891,-14.8936034422549,-21.3942608426969
0,4.2,-12.3545041103915,-15.2402249184243,-13.7961162751547,-9.58065875916584,-10.98226906037,-10.621318829145,-15.1798610215492,-22.1178920497883
0,4.3,-12.8169132079628,-15.0639879313791,-14.2204860837433,-9.91521138212009,-11.3407520564439,-10.9076494077721,-15.4572800855194,-22.7188190551182
0,4.4,-13.2947483232475,-14.9033608236131,-14.6562611878358,-10.2552435374901,-11.707587099544,-11.1972468551194,-15.7259611126744,-23.1545781082364
0,4.5,-13.7894662235988,-14.7569145752512,-15.1048862196494,-10.6034059879527,-12.0836185275704,-11.4903510589021,-15.9859661023373,-23.3941423241083
0,4.6,-14.3027568034421,-14.6231728279447,-15.5680391084693,-10.9614543761026,-12.4697744850486,-11.7872114441157,-16.2373591888331,-23.4292845763435
0,4.7,-14.8365754496293,-14.5007910002998,-16.0476369092974,-11.330847198042,-12.8670863898436,-12.0880895335629,-16.4802438942225,-23.2781319270914
0,4.8,-15.39318545742,-14.3886417724762,-16.5458605937412,-11.712995067611,-13.2767136632822,-12.3932619276851,-16.7147942893801,-22.9781764458272
0,4.9,-15.9752134873119,-14.2858401512043,-17.0652005229769,-12.1093861500102,-13.6999739644329,-12.7030233426961,-16.941277666257,-22.5738789568653
0,5,-16.5857216768969,-14.1917314551104,-17.6085239377251,-12.5216671784996,-14.1383799771196,-13.0176894815333,-17.1600667855614,-22.1062091017642
0,5.1,-17.2283008409107,-14.1058585608547,-18.17916669602,-12.95171170012,-14.593684562647,-13.3375995578138,-17.3716404140387,-21.6074709571012
0,5.2,-17.9071901596043,-14.02791980976,-18.7810532192193,-13.4016906401603,-15.0679369614422,-13.6631182770825,-17.5765716748148,-21.1005532704936
0,5.3,-18.6274296288124,-13.9577253815484,-19.4188508027795,-13.8741547577783,-15.5635538599424,-13.9946370136172,-17.7755045970133,-20.6004062183107
0,5.4,-19.3950515949303,-13.8951572205357,-20.0981666976314,-14.3721376112988,-16.0834107358189,-14.3325738039847,-17.9691200183149,-20.1160918173255
0,5.5,-20.2173149554995,-13.8401354840755,-20.825797779298,-14.8992892330478,-16.6309612498687,-14.6773715991663,-18.1580925190455,-19.6526203418064
0,5.6,-21.1029749279522,-13.7925928452714,-21.610040734343,-15.4600545187834,-17.2103960368621,-15.0294939535754,-18.343040245017,-19.2123458664028
