"$State []","Freq [GHz]","dB(St(1,1)) []","dB(St(2,2)) []","dB(St(3,3)) []","dB(St(4,4)) []","dB(St(5,5)) []","dB(St(6,6)) []","dB(St(7,7)) []","dB(St(8,8)) []"
1,2,-8.31346524508713,-10.1335959395964,3.01204739380341,-5.25472149655318,-4.20784390774708,-2.86793687522493,-7.85713499052158,-11.7939972012904
1,2.1,-8.75993800918735,-10.4157022231675,3.52141320298012,-5.69562491221364,-4.1878631826136,-3.44437781057053,-8.51336824720935,-12.8583563124684
1,2.2,-9.27520724654409,-10.8740501170934,3.84571361223548,-5.92881668495186,-4.28878457943759,-3.70079886952623,-8.93385496950998,-13.6365495956129
1,2.3,-9.74690003398099,-11.4106824994044,4.08215455224262,-6.03277997303911,-4.48642042655953,-3.75749477823191,-9.09517144082811,-14.0628250549088
1,2.4,-10.1535205800195,-11.9788597375501,4.29996510486564,-6.06285573532987,-4.73532979080404,-3.73009842235957,-9.12461625141461,-14.2491615057666
1,2.5,-10.5548511809095,-12.5585805238655,4.53356126109511,-6.06022155796873,-4.99832560000888,-3.68697486566602,-9.12107471976372,-14.3044615528864
1,2.6,-10.979558326894,-13.1433863501781,4.79422275070548,-6.04923308443611,-5.25766612254182,-3.65948595635156,-9.12571307291837,-14.3006273691886
1,2.7,-11.4330401216379,-13.733541292188,5.08107850809518,-6.04085095493859,-5.50947508214809,-3.65848473863346,-9.14908820722935,-14.2750399489863
1,2.8,-11.9166018446398,-14.3321728897206,5.38862017836885,-6.03971854332291,-5.75485271407645,-3.6852408003728,-9.19122882761381,-14.2391757700723
1,2.9,-12.4308950624472,-14.9424462619214,5.71063773760562,-6.04808680068847,-5.99507350414901,-3.73718201620418,-9.25006349948498,-14.1904971014065
1,3,-12.9755197127254,-15.5645907664136,6.04164949259668,-6.067349820831,-6.23008455536247,-3.81056377185039,-9.32419303470045,-14.1209908442527
1,3.1,-13.5476610375775,-16.1920014431241,6.37703164316737,-6.09872169443438,-6.45833041698711,-3.90158744125928,-9.4136236595026,-14.0215342678825
1,3.2,-14.1399287276309,-16.8061694717219,6.71266211455222,-6.14364397904168,-6.67691855541995,-4.00680150840051,-9.51989316447366,-13.8843433639155
1,3.3,-14.7372025042894,-17.371418987838,7.04448126537657,-6.2040850191915,-6.8818156254223,-4.12319256292391,-9.64606988432703,-13.7048735636484
1,3.4,-15.3126155966902,-17.8327616746116,7.36811803385489,-6.28277051099651,-7.06803983297787,-4.24815355744777,-9.79676043185227,-13.4833428133733
1,3.5,-15.8240090608293,-18.1226615548581,7.67861870525982,-6.38334996686209,-7.22991367279464,-4.37941235471052,-9.97814521714998,-13.2254785793779
1,3.6,-16.2145535255312,-18.1808260605179,7.97028588983783,-6.51048775710179,-7.36147369152217,-4.51495647652442,-10.1980196178002,-12.9421031814877
1,3.7,-16.4231982603692,-17.9805272090483,8.23664023093823,-6.66985535041782,-7.45712472761949,-4.65296969470753,-10.4658017636545,-12.6475733699267
1,3.8,-16.4068130475613,-17.5430493018803,8.47052932345631,-6.86799339100404,-7.51256521764689,-4.79178794556456,-10.7924617397432,-12.3575560411252
1,3.9,-16.1631675181095,-16.9282169847813,8.66441156181497,-7.11201350525465,-7.52588771765986,-4.92987892163193,-11.1903332332102,-12.0868320313052
1,4,-15.7356805568135,-16.2105036247411,8.8108271234352,-7.40912687272384,-7.49859967076696,-5.06584798798909,-11.6727949803656,-11.847680483808
1,4.1,-15.1949798676334,-15.4585261410142,8.90302969537192,-7.76602349889797,-7.43619415250801,-5.19847075105675,-12.2538627142304,-11.6490612756733
1,4.2,-14.6133090439621,-14.725421834478,8.93569690154038,-8.18817796797607,-7.34793599162972,-5.32674858864375,-12.9478107210223,-11.4965028203593
1,4.3,-14.0481101976036,-14.0474115109147,8.9055849505705,-8.67920659896919,-7.24576212062329,-5.44997767649807,-13.7690292625099,-11.392441656248
1,4.4,-13.5375455642891,-13.4459406238864,8.81197341728566,-9.24042090557288,-7.14253732522479,-5.56781582300152,-14.7323952171399,-11.3367504078298
1,4.5,-13.1028653263203,-12.9307433487633,8.65678135807164,-9.87069257224425,-7.05016758372724,-5.6803273904727,-15.8544784748331,-11.3272695049161
1,4.6,-12.7528276083301,-12.502888566066,8.44432129659422,-10.5666688285048,-6.97810157225724,-5.78798778202863,-17.1559650760567,-11.3602585821269
1,4.7,-12.4878767519905,-12.1575539049687,8.1807578792505,-11.323284766787,-6.93254860400414,-5.89163701054153,-18.665868619779,-11.4307626425216
1,4.8,-12.3034228586744,-11.8864097586464,7.87340832475563,-12.1344518351986,-6.91644571373408,-5.99238516837291,-20.4286559353644,-11.5329292085294
1,4.9,-12.1922103042936,-11.6795125365389,7.53003644187428,-12.9937848941278,-6.92997546455569,-6.09148638019802,-22.5167486552457,-11.660317912963
1,5,-12.1459316242079,-11.5266601079383,7.15825703047388,-13.8952608013456,-6.97134791638656,-6.19020631116824,-25.053471555852,-11.8062254983438
1,5.1,-12.1562593985965,-11.4182432641882,6.76510982215206,-14.8337562419144,-7.03759786552865,-6.28970817015175,-28.2513209273776,-11.9640223858577
1,5.2,-12.2154503498216,-11.3456904966146,6.35680901305545,-15.8054663096483,-7.12524586646711,-6.3909742907943,-32.3826304766366,-12.1274751992857
1,5.3,-12.3166511420373,-11.3016282590038,5.93864050487974,-16.8082439668174,-7.23076777007933,-6.49476899248759,-36.3227402369935,-12.2910206518401
1,5.4,-12.4540090538512,-11.2798701656053,5.51496547742121,-17.8419226408519,-7.35088214723338,-6.60163826957346,-34.6960093766614,-12.4499610317508
1,5.5,-12.622664836279,-11.2753214382244,5.08928984378856,-18.9086969495751,-7.48269500761954,-6.71193584386438,-31.0237147117381,-12.60056581958
1,5.6,-12.8186819730721,-11.2838530567871,4.66436720362005,-20.0136508337198,-7.62374693850183,-6.82586364255852,-28.2440923068394,-12.7400811182325
1,5.7,-13.038947829878,-11.3021725057581,4.24231271903599,-21.1655521039319,-7.77200115329341,-6.94351651678178,-26.2096616194757,-12.8666627527219
1,5.8,-13.2810682352696,-11.3276996015052,3.82471399457145,-22.3780987191085,-7.92580048166771,-7.06492420464184,-24.6595299192691,-12.9792568959861
1,5.9,-13.5432673909678,-11.3584476976479,3.41273152341493,-23.6719463995919,-8.08381152587086,-7.19008676135206,-23.4339321328377,-13.0774535452551
1,6,-13.8242987428798,-11.392910059079,3.00718558684164,-25.0781654169856,-8.24496667906829,-7.31900218695747,-22.4364762691103,-13.1613347258668
1,6.1,-14.1233685857149,-11.429953779463,2.60862909975683,-26.6445169408435,-8.40840957635463,-7.45168659233389,-21.6060726307422,-13.2313332905084
1,6.2,-14.4400718828213,-11.4687253460558,2.21740729130435,-28.4478416985536,-8.57344636884217,-7.58818808349792,-20.9020130215263,-13.2881117254604
1,6.3,-14.7743384055266,-11.5085713550356,1.8337057254204,-30.6214202915253,-8.73950341282194,-7.72859584954004,-20.295983036904,-13.332464857471
1,6.4,-15.1263863387737,-11.5489756841942,1.45758831468639,-33.4257983867741,-8.90609107449264,-7.87304593744608,-19.7675768271833,-13.365246383989
1,6.5,-15.4966795705836,-11.5895120863362,1.0890268674692,-37.4829119457576,-9.07277302498002,-8.02172505740454,-19.3016495719424,-13.3873167549922
1,6.6,-15.8858836218497,-11.6298096393979,0.727923456384992,-44.9341818910233,-9.23914041744115,-8.17487359257279,-18.8866837659184,-13.3995088288974
1,6.7,-16.2948131721696,-11.6695279702802,0.374126570440867,-48.3487520368812,-9.40479056062553,-8.33278884540684,-18.51374294878,-13.4026075188464
1,6.8,-16.7243608458635,-11.7083393782105,0.0274416381726945,-38.8003068200429,-9.5693100473202,-8.49582946036291,-18.1757818082569,-13.3973399806074
1,6.9,-17.1753915273603,-11.7459155374693,-0.312363920335474,-34.0271188789544,-9.73226270507464,-8.66442191464209,-17.86718216745,-13.3843734998567
1,7,-17.6485777619812,-11.7819170751155,-0.645561468200705,-30.8374005601674,-9.89318316392814,-8.83906993137968,-17.5834386829603,-13.3643189444275
1,7.1,-18.144138038246,-11.8159848524571,-0.9724687617828,-28.401800358599,-10.0515772383731,-9.02036756806659,-17.3209487972159,-13.3377383730205
1,7.2,-18.6614188192361,-11.8477321877452,-1.29346628380207,-26.399555851901,-10.2069306669881,-9.2090164150467,-17.0768796651678,-13.3051561228567
1,7.3,-19.1982315648806,-11.8767375553848,-1.60902542360802,-24.6735240361846,-10.3587280520888,-9.40584650644523,-16.8490960085522,-13.2670734807398
1,7.4,-19.7498202908237,-11.9025375192458,-1.91975341309599,-23.1348627808029,-10.5064841959592,-9.61183862778976,-16.6361400137997,-13.2239879791873
1,7.5,-20.3073103224824,-11.9246198458306,-2.22646252931803,-21.7281946858238,-10.6497907107572,-9.82814164476968,-16.4372588656816,-13.1764196259353
1,7.6,-20.8555295934565,-11.9424169412213,-2.53027485059471,-20.4164614358204,-10.7883823101048,-10.0560704277065,-16.2524776977591,-13.1249482352716
1,7.7,-21.3703337945468,-11.9553000159349,-2.83277919262807,-19.1735573226022,-10.922230421442,-10.2970549705256,-16.0827151525869,-13.0702688417343
1,7.8,-21.8162413239937,-11.9625747767204,-3.13626395311368,-17.9805192921737,-11.0516778932337,-10.5524856092258,-15.9299337735463,-13.0132762967527
1,7.9,-22.1464603649726,-11.9634800904081,-3.44405772974203,-16.8235798222438,-11.1776390774064,-10.8233605722506,-15.7973047922465,-12.9551954579226
1,8,-22.308658937677,-11.9571921648631,-3.7610150235818,-15.6933679250635,-11.3019056953053,-11.1095982035317,-15.6893404196869,-12.8977776639213
1,8.1,-22.2587388336246,-11.9428387141881,-4.094174992178,-14.5849811868809,-11.4276198280824,-11.4088658699997,-15.6118955246731,-12.8435785233804
1,8.2,-21.9789365584554,-11.9195310032496,-4.45356360338228,-13.4988660345439,-11.5599919055863,-11.7149043068769,-15.5718448203578,-12.7962902573435
1,8.3,-21.4895649733665,-11.8864278752498,-4.85292085080777,-12.4425129480576,-11.707316882998,-12.0157626429644,-15.5760654237225,-12.760966080575
1,8.4,-20.8459673843204,-11.8428571887975,-5.30963524942106,-11.432840612408,-11.8821613753568,-12.2931803572835,-15.629036206187,-12.7436757646765
1,8.5,-20.123969817803,-11.7885405247567,-5.84205364909261,-10.4986412174135,-12.1019708202623,-12.5250590906799,-15.7278355518256,-12.7497945669996
1,8.6,-19.4032720542882,-11.7240021563271,-6.46042212868095,-9.68146236580369,-12.3867960997966,-12.6922311118283,-15.8527284576333,-12.78057401595
1,8.7,-18.7528769268014,-11.6512953546548,-7.1463715984741,-9.0322960023925,-12.7494853542338,-12.7879368080338,-15.95238015613,-12.8301222805511
1,8.8,-18.2174237406514,-11.5752208623852,-7.82227827446266,-8.60236179491621,-13.1745832118992,-12.8263730693244,-15.9308958764715,-12.8875103798481
1,8.9,-17.8072259329845,-11.5050902234996,-8.3411433765481,-8.43131318375845,-13.5969721136491,-12.8492250641865,-15.6677122220851,-12.9448770370681
1,9,-17.5008966969886,-11.4562788566895,-8.56392056680395,-8.5416667290144,-13.9158517993229,-12.9330690741716,-15.1109223855628,-13.0043502480754
1,9.1,-17.2638065737341,-11.4483531518955,-8.51222492785149,-8.93908481288253,-14.0575720744882,-13.1949282984161,-14.3810601858751,-13.0779001770501
1,9.2,-17.071485777439,-11.4935248019771,-8.405074946086,-9.58104233453522,-14.0222308422098,-13.7722107288698,-13.7127139442999,-13.1823051563784
