"$State []","Freq [GHz]","dB(St(1,1)) []"
0,2,-4.6659420956591
0,2.1,-5.55779879910486
0,2.2,-6.05938395984787
0,2.3,-6.3443396671373
0,2.4,-6.52815078220126
0,2.5,-6.6607089252158
0,2.6,-6.79064160556354
0,2.7,-6.95761571400942
0,2.8,-7.17595793982714
0,2.9,-7.43945199985814
0,3,-7.73575207787816
0,3.1,-8.05469910232419
0,3.2,-8.38994002759523
0,3.3,-8.73801430860505
0,3.4,-9.09721011122418
0,3.5,-9.46678068623463
0,3.6,-9.84650240414229
0,3.7,-10.2364510589794
0,3.8,-10.6368993374987
0,3.9,-11.0482766105901
0,4,-11.4711588920268
0,4.1,-11.9062725508679
0,4.2,-12.3545041103915
0,4.3,-12.8169132079628
0,4.4,-13.2947483232475
0,4.5,-13.7894662235988
0,4.6,-14.3027568034421
0,4.7,-14.8365754496293
0,4.8,-15.39318545742
0,4.9,-15.9752134873119
0,5,-16.5857216768969
0,5.1,-17.2283008409107
0,5.2,-17.9071901596043
0,5.3,-18.6274296288124
0,5.4,-19.3950515949303
0,5.5,-20.2173149554995
0,5.6,-21.1029749279522
0,5.7,-22.0625492753077
0,5.8,-23.1084532112013
0,5.9,-24.2546352821785
0,6,-25.5146997748676
0,6.1,-26.8957758787847
0,6.2,-28.3810782114922
0,6.3,-29.8859810499355
0,6.4,-31.1754195084967
0,6.5,-31.8293978490968
0,6.6,-31.527728925696
0,6.7,-30.445323129609
0,6.8,-29.0204332706085
0,6.9,-27.554884732623
0,7,-26.1721458983539
0,7.1,-24.9038998016443
0,7.2,-23.7471220023327
0,7.3,-22.6882689560665
0,7.4,-21.7120956279716
0,7.5,-20.8045346339169
0,7.6,-19.9534379617957
0,7.7,-19.1486094493531
0,7.8,-18.3816593276637
0,7.9,-17.6458830268935
0,8,-16.9362489014727
0,8.1,-16.2495394183449
0,8.2,-15.5846729743989
0,8.3,-14.9432082468515
0,8.4,-14.3299716003026
0,8.5,-13.7536217481865
0,8.6,-13.2267681400466
0,8.7,-12.7650690403554
0,8.8,-12.3847880404684
0,8.9,-12.0989005544121
0,9,-11.9129812946539
0,9.1,-11.8228964217043
0,9.2,-11.8155737515604
0,9.3,-11.8719546339877
0,9.4,-11.969511705481
0,9.5,-12.0820776178312
0,9.6,-12.1771028315596
0,9.7,-12.2138625450158
0,9.8,-12.1487055737535
0,9.9,-11.9506811095566
0,10,-11.6197498276956
0,10.1,-11.1912739947476
0,10.2,-10.7211561986222
0,10.3,-10.2645696543152
0,10.4,-9.86263571957391
0,10.5,-9.53959519454765
0,10.6,-9.30571861854266
0,10.7,-9.16152860015176
0,10.8,-9.10140690071665
0,10.9,-9.11623972735739
0,11,-9.19527342290524
0,11.1,-9.35121144230438
0,11.2,-9.60518598714461
0,11.3,-9.95294037918837
0,11.4,-10.392081499923
0,11.5,-10.8897670901353
0,11.6,-11.3622664430099
0,11.7,-11.7046794183063
0,11.8,-11.8679106966362
0,11.9,-11.8874991572966
0,12,-11.8328525171704
0,12.1,-11.7622889243249
0,12.2,-11.7335306321684
0,12.3,-11.8334953212092
0,12.4,-12.0767860359535
0,12.5,-12.3271170826695
0,12.6,-12.5213267217669
0,12.7,-12.682231366717
0,12.8,-12.8324297368018
0,12.9,-12.981354992779
0,13,-13.1315192596016
0,13.1,-13.2826915026823
0,13.2,-13.4336999880807
0,13.3,-13.5831501362911
0,13.4,-13.7297047690595
0,13.5,-13.8721886982588
0,13.6,-14.0096211325129
0,13.7,-14.1412176339287
0,13.8,-14.2663790229333
0,13.9,-14.3846747678919
0,14,-14.4958242797951
0,14.1,-14.599677763264
0,14.2,-14.6961974880694
0,14.3,-14.7854399752423
0,14.4,-14.8675393999444
0,14.5,-14.9426923981849
0,14.6,-15.0111443838497
0,14.7,-15.0731774195237
0,14.8,-15.1290996331876
0,14.9,-15.1792361312341
0,15,-15.223921325867
0,15.1,-15.2634925714574
0,15.2,-15.2982849892041
0,15.3,-15.3286273515275
0,15.4,-15.3548388958443
0,15.5,-15.3772269404574
0,15.6,-15.3960851819908
0,15.7,-15.411692562966
0,15.8,-15.4243126087602
0,15.9,-15.4341931444989
0,16,-15.4415663138035
0,16.1,-15.4466488322672
0,16.2,-15.4496424187744
0,16.3,-15.4507343571139
0,16.4,-15.450098148677
0,16.5,-15.4478942243459
0,16.6,-15.4442706900051
0,16.7,-15.4393640854968
0,16.8,-15.4333001413817
0,16.9,-15.42619452164
0,17,-15.4181535435521
0,17.1,-15.4092748685244
0,17.2,-15.3996481596541
0,17.3,-15.3893557034384
0,17.4,-15.3784729942945
0,17.5,-15.3670692815324
0,17.6,-15.3552080791573
0,17.7,-15.3429476394227
0,17.8,-15.3303413914487
0,17.9,-15.3174383464846
0,18,-15.3042834715676
0,18.1,-15.290918033426
0,18.2,-15.2773799145104
0,18.3,-15.2637039030357
0,18.4,-15.2499219588728
0,18.5,-15.2360634570745
0,18.6,-15.2221554107392
0,18.7,-15.2082226748284
0,18.8,-15.1942881324642
0,18.9,-15.1803728651346
0,19,-15.1664963081361
0,19.1,-15.1526763924945
0,19.2,-15.1389296745055
0,19.3,-15.1252714539552
0,19.4,-15.1117158819931
0,19.5,-15.0982760595524
0,19.6,-15.0849641271402
0,19.7,-15.0717913467487
0,19.8,-15.0587681765769
0,19.9,-15.045904339192
0,20,-15.033208883706
1,2,-8.31346524508713
1,2.1,-8.75993800918735
1,2.2,-9.27520724654409
1,2.3,-9.74690003398099
1,2.4,-10.1535205800195
1,2.5,-10.5548511809095
1,2.6,-10.979558326894
1,2.7,-11.4330401216379
1,2.8,-11.9166018446398
1,2.9,-12.4308950624472
1,3,-12.9755197127254
1,3.1,-13.5476610375775
1,3.2,-14.1399287276309
1,3.3,-14.7372025042894
1,3.4,-15.3126155966902
1,3.5,-15.8240090608293
1,3.6,-16.2145535255312
1,3.7,-16.4231982603692
1,3.8,-16.4068130475613
1,3.9,-16.1631675181095
1,4,-15.7356805568135
1,4.1,-15.1949798676334
1,4.2,-14.6133090439621
1,4.3,-14.0481101976036
1,4.4,-13.5375455642891
1,4.5,-13.1028653263203
1,4.6,-12.7528276083301
1,4.7,-12.4878767519905
1,4.8,-12.3034228586744
1,4.9,-12.1922103042936
1,5,-12.1459316242079
1,5.1,-12.1562593985965
1,5.2,-12.2154503498216
1,5.3,-12.3166511420373
1,5.4,-12.4540090538512
1,5.5,-12.622664836279
1,5.6,-12.8186819730721
1,5.7,-13.038947829878
1,5.8,-13.2810682352696
1,5.9,-13.5432673909678
1,6,-13.8242987428798
1,6.1,-14.1233685857149
1,6.2,-14.4400718828213
1,6.3,-14.7743384055266
1,6.4,-15.1263863387737
1,6.5,-15.4966795705836
1,6.6,-15.8858836218497
1,6.7,-16.2948131721696
1,6.8,-16.7243608458635
1,6.9,-17.1753915273603
1,7,-17.6485777619812
1,7.1,-18.144138038246
1,7.2,-18.6614188192361
1,7.3,-19.1982315648806
1,7.4,-19.7498202908237
1,7.5,-20.3073103224824
1,7.6,-20.8555295934565
1,7.7,-21.3703337945468
1,7.8,-21.8162413239937
1,7.9,-22.1464603649726
1,8,-22.308658937677
1,8.1,-22.2587388336246
1,8.2,-21.9789365584554
1,8.3,-21.4895649733665
1,8.4,-20.8459673843204
1,8.5,-20.123969817803
1,8.6,-19.4032720542882
1,8.7,-18.7528769268014
1,8.8,-18.2174237406514
1,8.9,-17.8072259329845
1,9,-17.5008966969886
1,9.1,-17.2638065737341
1,9.2,-17.071485777439
1,9.3,-16.9234509935496
1,9.4,-16.8429969081407
1,9.5,-16.8676337407648
1,9.6,-17.0359840113899
1,9.7,-17.3749317865713
1,9.8,-17.8900212908149
1,9.9,-18.5612108046761
1,10,-19.3427803128962
1,10.1,-20.1623710451375
1,10.2,-20.9151725002987
1,10.3,-21.4611722057436
1,10.4,-21.6547851875409
1,10.5,-21.4264329192134
1,10.6,-20.8483244508136
1,10.7,-20.0896355717569
1,10.8,-19.311969367426
1,10.9,-18.6129184792987
1,11,-18.0292737296607
1,11.1,-17.276052019773
1,11.2,-16.6729975871115
1,11.3,-16.2752365494393
1,11.4,-16.10271870116
1,11.5,-16.1283583660162
1,11.6,-16.2744770660632
1,11.7,-16.4179056889666
1,11.8,-16.4660935183214
1,11.9,-16.5233623144284
1,12,-16.7401885334041
1,12.1,-16.9468030893861
1,12.2,-17.1166024549413
1,12.3,-17.2169618620754
1,12.4,-17.1765335561688
1,12.5,-16.9884667489262
1,12.6,-16.7019970205954
1,12.7,-16.3861348457126
1,12.8,-16.0968242384525
1,12.9,-15.8642921331491
1,13,-15.6967816250217
1,13.1,-15.5896007221468
1,13.2,-15.5327060676186
1,13.3,-15.5151749019312
1,13.4,-15.527233496534
1,13.5,-15.5608814040169
1,13.6,-15.6098619169183
1,13.7,-15.6693950247206
1,13.8,-15.7358674793578
1,13.9,-15.806555965933
1,14,-15.8794041602602
1,14.1,-15.9528520583663
1,14.2,-16.0257087382085
1,14.3,-16.0970587819684
1,14.4,-16.1661938731547
1,14.5,-16.2325628714122
1,14.6,-16.2957353209913
1,14.7,-16.3553746854659
1,14.8,-16.4112186176277
1,14.9,-16.4630643221284
1,15,-16.5107576108542
1,15.1,-16.5541846408791
1,15.2,-16.5932656043411
1,15.3,-16.6279498401314
1,15.4,-16.658211981643
1,15.5,-16.684048859228
1,15.6,-16.7054769519592
1,15.7,-16.7225302388582
1,15.8,-16.7352583406752
1,15.9,-16.7437248735747
1,16,-16.7480059585827
1,16.1,-16.7481888473854
1,16.2,-16.7443706375171
1,16.3,-16.7366570591741
1,16.4,-16.7251613226273
1,16.5,-16.7100030200482
1,16.6,-16.6913070789517
1,16.7,-16.6692027667212
1,16.8,-16.6438227470878
1,16.9,-16.6153021901845
1,17,-16.5837779380615
1,17.1,-16.5493877274565
1,17.2,-16.5122694712786
1,17.3,-16.4725605997726
1,17.4,-16.4303974617418
1,17.5,-16.3859147855954
1,17.6,-16.3392451993679
1,17.7,-16.2905188082864
1,17.8,-16.2398628279423
1,17.9,-16.187401270676
1,18,-16.1332546824191
1,18.1,-16.0775399269458
1,18.2,-16.0203700142836
1,18.3,-15.9618539698958
1,18.4,-15.9020967411871
1,18.5,-15.841199137879
1,18.6,-15.7792578028492
1,18.7,-15.7163652101266
1,18.8,-15.6526096868568
1,18.9,-15.5880754562133
1,19,-15.522842698406
1,19.1,-15.4569876271276
1,19.2,-15.3905825789798
1,19.3,-15.3236961136246
1,19.4,-15.2563931226049
1,19.5,-15.188734944981
1,19.6,-15.1207794881169
1,19.7,-15.0525813521382
1,19.8,-14.9841919567513
1,19.9,-14.9156596692785
1,20,-14.8470299329143
