"$State []","Freq [GHz]","dB(St(2,1)) []","dB(St(3,1)) []","dB(St(4,1)) []","dB(St(5,1)) []","dB(St(6,1)) []","dB(St(7,1)) []","dB(St(8,1)) []"
0,2,-18.6798593054166,-24.0103836831207,-21.198095085647,-40.3044035233931,-19.4663125396536,-17.279399839436,-12.2046597793844
0,2.1,-14.942634426277,-19.2621279542913,-28.4654247367819,-32.1934285542752,-17.280917700352,-16.9100131461794,-11.3060730424391
0,2.2,-14.7895188346479,-19.0745028719851,-29.7031992364135,-30.9700861615195,-17.0969314537694,-17.0532270076386,-11.3377027024759
0,2.3,-14.7094348345607,-19.0602294293921,-29.2301287310884,-31.1105836075528,-17.0545014512374,-16.8927198651069,-11.188434157887
0,2.4,-14.6867176960769,-19.1266669568278,-28.1196860084163,-31.8822514099435,-17.1218142597188,-16.6299530483903,-10.9940880685998
0,2.5,-14.8153519600916,-19.4222162233334,-26.508057852419,-33.2190819800874,-17.3844180278179,-16.3871489922576,-10.8568900920045
0,2.6,-15.144371237129,-20.0306829049579,-24.7236844181986,-34.9148280520432,-17.6957041090528,-16.2288562487755,-10.8141259495729
0,2.7,-15.6335679628469,-20.8115047916993,-23.1856558183744,-36.4899312794225,-18.0390953037363,-16.1726315174237,-10.8547293046015
0,2.8,-16.1694355581563,-21.5160704663742,-22.1013710401325,-37.5056739195593,-18.3951704403495,-16.1949570126095,-10.9443582152016
0,2.9,-16.6369289419677,-22.0207523704354,-21.4249224509576,-37.9520727722738,-18.6424676291439,-16.2541062521682,-11.0472179591976
0,3,-16.974946682651,-22.343149785657,-21.022127396151,-38.0860354458129,-18.7978264481822,-16.3160994668665,-11.137481922848
0,3.1,-17.1790468052145,-22.5487431626214,-20.790845772894,-38.1030337564353,-18.8985223079651,-16.3650839042703,-11.2023208980999
0,3.2,-17.2760855428782,-22.6959655265137,-20.6773798417979,-38.0745979360966,-18.9696731163939,-16.3995643548439,-11.2405615774121
0,3.3,-17.3008191867296,-22.6910782896663,-20.6523989037215,-38.0065335421381,-19.0266719456283,-16.4248365064328,-11.2588478260502
0,3.4,-17.2837721123392,-21.649460431657,-20.6919502201974,-37.887280328498,-19.0790295792092,-16.4475520114758,-11.2667727686713
0,3.5,-17.2475483141073,-22.0983319391051,-20.7732685928635,-37.7108703165133,-19.1326955105836,-16.4732024747108,-11.2730032904219
0,3.6,-17.2071643667426,-22.2886519644446,-20.8776818408958,-37.4831378619859,-19.1913593471119,-16.5054739072284,-11.2835153059294
0,3.7,-17.1716957832043,-22.3734842016217,-20.9927107855072,-37.2189404874938,-19.25721359637,-16.5464436465491,-11.3015597815726
0,3.8,-17.1460342673955,-22.424292786025,-21.1115453165591,-36.9364075199988,-19.3314392116225,-16.5970229999841,-11.3283983915772
0,3.9,-17.1323406723064,-22.4629722353328,-21.2312877385724,-36.652119422249,-19.4145398041306,-16.6573827467407,-11.3641097617385
0,4,-17.1311149286327,-22.4982308747256,-21.3512661535029,-36.3786087882028,-19.5065824869074,-16.727278501248,-11.4081881340084
0,4.1,-17.141928160345,-22.5341647959715,-21.4718701759341,-36.1238545607717,-19.6073728737872,-16.8062710228893,-11.4599083132299
0,4.2,-17.1638954367765,-22.5728910653028,-21.5938766880824,-35.8918930143059,-19.7165796184335,-16.8938626055438,-11.5185177224499
0,4.3,-17.1959647421659,-22.6155468249699,-21.7181062611133,-35.6838179218558,-19.8338195025061,-16.9895743174799,-11.5833222415578
0,4.4,-17.2370829167742,-22.6627327003407,-21.8452707309641,-35.4987620269846,-19.9587123238465,-17.092984708531,-11.6537142446854
