"$State []","Freq [GHz]","dB(St(2,1)) []","dB(St(3,1)) []","dB(St(4,1)) []","dB(St(5,1)) []","dB(St(6,1)) []","dB(St(7,1)) []","dB(St(8,1)) []"
1,2,-15.3032350875703,-8.10605017892091,-30.2708249853504,-21.0789166473387,-11.4501172583056,-8.19763607960657,-10.7881820551891
1,2.1,-16.1894298381516,-8.71532423682016,-45.8322005545671,-22.8130507755253,-11.5336006234485,-7.52027986670646,-10.6850190420333
1,2.2,-16.6620021792542,-8.44663301050266,-40.4710611091232,-23.5365416617192,-11.7436984325012,-7.30319032604504,-10.5070483883993
1,2.3,-16.9651091140763,-7.88215891271018,-46.5465787253854,-23.7887765214951,-12.0050159690362,-7.30404916670023,-10.4260064675538
1,2.4,-17.2274386046595,-7.19734662657764,-33.7122203518204,-23.6908256641536,-12.2743382301147,-7.37771562798777,-10.4360008414414
1,2.5,-17.5165727753138,-6.50867794128188,-27.7466804423195,-23.3444253284298,-12.5334921366443,-7.44746068405986,-10.4862932345507
1,2.6,-17.8733840499296,-5.85988317620605,-24.2050323173527,-22.9179645644732,-12.7840000924482,-7.47929562809618,-10.5538423120663
1,2.7,-18.3261720115852,-5.25943377909363,-21.7679323275591,-22.5327237575964,-13.0372971982698,-7.46293085241098,-10.6357168210396
1,2.8,-18.8985412908417,-4.7035162318225,-19.9349918619031,-22.2380841275637,-13.3068570619058,-7.39948524991653,-10.7345252743564
1,2.9,-19.615712388528,-4.18542773616357,-18.4643459737314,-22.0363690101186,-13.6044739929747,-7.29469416578681,-10.8542807656532
1,3,-20.5108704516226,-3.69891856048782,-17.2234368921812,-21.9048476181198,-13.9394761759694,-7.15567051218838,-10.9996052187784
1,3.1,-21.6334561226161,-3.23924617118254,-16.1344061470977,-21.8072652558714,-14.3192458823736,-6.98961443621869,-11.1755927284859
1,3.2,-23.0632550700974,-2.8034267359069,-15.1500332586767,-21.7002281462037,-14.7500520661803,-6.80347240771237,-11.387786805602
1,3.3,-24.9398434679495,-2.390233770721,-14.2417316361574,-21.5393944102256,-15.2377335956188,-6.60400972707745,-11.6421327312905
1,3.4,-27.5364976473277,-2.00013534907238,-13.3929677466787,-21.2876740994831,-15.7880198822164,-6.39803090597236,-11.9448050334935
1,3.5,-31.4878387317807,-1.63522166221606,-12.595363313737,-20.9241501358302,-16.4063158842378,-6.19261796385118,-12.3017699653493
1,3.6,-38.4080826234714,-1.29911592729928,-11.8462249461963,-20.4496373209722,-17.0966810071726,-5.99531568228691,-12.7178623607964
1,3.7,-38.0470660287757,-0.996833573953567,-11.1468648199814,-19.885463567154,-17.8595280377393,-5.81421362389129,-13.1950391384882
1,3.8,-30.8662959597851,-0.734541615807558,-10.5013504231041,-19.2662395516893,-18.6873128251192,-5.65788088466618,-13.7293513391988
1,3.9,-26.6347979600314,-0.519171243322033,-9.91545651388406,-18.6308355988049,-19.5574433751327,-5.53511735100157,-14.3062069758582
1,4,-23.7666779028545,-0.357857177171371,-9.39567995855897,-18.015386341243,-20.4227412530679,-5.45450691329838,-14.8941387240305
1,4.1,-21.6490443676273,-0.257221265661282,-8.9482593079639,-17.4495150043007,-21.2040792620527,-5.42380015229657,-15.4394536234814
1,4.2,-20.0194568575026,-0.222579751283264,-8.57822617857113,-16.9550443976946,-21.7980588337215,-5.44921177360253,-15.868286809081
1,4.3,-18.7434914900312,-0.257212706981662,-8.28859031198007,-16.5460697349163,-22.1140235937534,-5.53477160222382,-16.1048888958591
1,4.4,-17.7421553398176,-0.361858386653531,-8.07979535691631,-16.2296677188049,-22.1265676807347,-5.68188734198152,-16.1049301391549
1,4.5,-16.9633026228438,-0.534559859099244,-7.94955465791347,-16.0069456946285,-21.8930010737528,-5.88924030018284,-15.8805408509491
1,4.6,-16.3689097769843,-0.770900600457112,-7.89309110156355,-15.874323887652,-21.5150031970451,-6.15304731525092,-15.4922773073545
1,4.7,-15.9290646451872,-1.06455771991488,-7.90370124678686,-15.824946046682,-21.0878330285599,-6.46761961438817,-15.0166201583987
1,4.8,-15.6190916789895,-1.40802555465484,-7.97349134484943,-15.850067643444,-20.6763222152227,-6.82607823678447,-14.5180835024482
1,4.9,-15.4181812430641,-1.79334695519658,-8.09411994511517,-15.9402675929435,-20.3155133189254,-7.22107183496617,-14.0391642364001
1,5,-15.3087066638311,-2.21272794790791,-8.25742178730475,-16.0863828007839,-20.0199160949537,-7.64537923606701,-13.6026518776622
1,5.1,-15.2758177862972,-2.65897393907629,-8.45585101879375,-16.2801412935266,-19.7922008473289,-8.09233821754385,-13.2177672344373
1,5.2,-15.3071209511718,-3.12574248758123,-8.68273896089133,-16.5145326501005,-19.6290600165215,-8.55609575710443,-12.8857032215987
1,5.3,-15.3923746200257,-3.60764336841883,-8.93239739823501,-16.7839869895065,-19.5246364620636,-9.03170897630523,-12.6034542364575
1,5.4,-15.5231877680666,-4.10023024335325,-9.20011193608431,-17.0844372357549,-19.4723639033974,-9.51513913825187,-12.3661437505699
1,5.5,-15.6927306363374,-4.59992657607844,-9.48206827622076,-17.4133218802087,-19.4658798251004,-10.003179698162,-12.1683254137114
1,5.6,-15.8954718793613,-5.10391943150336,-9.77524527438574,-17.7695525708079,-19.4994279164481,-10.4933509874878,-12.0046554434347
1,5.7,-16.1269530482636,-5.61004422642318,-10.0772980935141,-18.1534238329735,-19.5679922571595,-10.9837840727612,-11.8702035088551
1,5.8,-16.3836061114014,-6.11667434922792,-10.38644564028,-18.5663862052624,-19.6672981446249,-11.4731075466561,-11.7605656046891
1,5.9,-16.6626146118144,-6.62262282992919,-10.7013697500493,-19.0105676466796,-19.7937526008688,-11.9603444637488,-11.6718740276879
1,6,-16.9618148404734,-7.12705882718408,-11.021129174522,-19.4879804891119,-19.9443629894943,-12.4448222721334,-11.6007578966785
1,6.1,-17.2796302775593,-7.6294391003807,-11.34508882466,-19.9995640212491,-20.1166531641104,-12.9260959506651,-11.5442832851286
1,6.2,-17.61503065139,-8.12945329485681,-11.6728633771217,-20.5445151337435,-20.3085863107092,-13.4038831149705,-11.4998881443715
1,6.3,-17.9675064191304,-8.62698132683683,-12.0042738116532,-21.120432021402,-20.5184982424866,-13.878009163061,-11.4653194431801
1,6.4,-18.3370503182763,-9.12206108239592,-12.3393153871424,-21.7243599921974,-20.7450421737762,-14.3483602741421,-11.4385757186856
1,6.5,-18.7241396858312,-9.61486482809377,-12.6781357787687,-22.3541759809448,-20.9871447259797,-14.814842043664,-11.4178559921816
1,6.6,-19.1297160601096,-10.105683043644,-13.0210224695369,-23.0095590514213,-21.243972432487,-15.2773416150638,-11.4015148676093
1,6.7,-19.5551615917116,-10.594914764061,-13.368398960907,-23.6922273395048,-21.5149079465047,-15.7356913094606,-11.3880230963345
1,6.8,-20.0022744554831,-11.0830639372518,-13.7208299286357,-24.4056457015469,-21.7995353219723,-16.1896319878278,-11.3759326737546
1,6.9,-20.4732474381204,-11.5707417708825,-14.0790361260605,-25.1545834516287,-22.0976340373196,-16.638774827148,-11.3638454709567
1,7,-20.9706551260143,-12.0586755941365,-14.4439206862434,-25.9447817096617,-22.4091818250811,-17.0825611042623,-11.3503844089099
1,7.1,-21.4974558496195,-12.5477254598682,-14.8166095951556,-26.7828150869263,-22.7343668516197,-17.5202213789961,-11.3341662052483
1,7.2,-22.0570151497514,-13.0389106655411,-15.1985106555443,-27.6761275872416,-23.0736103755633,-17.9507387067997,-11.3137747411276
1,7.3,-22.6531585084508,-13.5334497451297,-15.5913974777806,-28.6331842795614,-23.427601727093,-18.3728255721173,-11.287734103051
1,7.4,-23.2902629839682,-14.0328195497584,-15.9975283033666,-29.6636616626155,-23.7973483152459,-18.7849303531864,-11.2544803679055
1,7.5,-23.973400868147,-14.5388422349934,-16.4198144056691,-30.7785501229637,-24.1842443715812,-19.1852923997729,-11.2123312686787
1,7.6,-24.7085544719628,-15.0538140391242,-16.8620604300304,-31.9898916682697,-24.5901631364195,-19.5720560035156,-11.1594531180543
1,7.7,-25.5029311247384,-15.5806978862134,-17.329311009717,-33.3094758282814,-25.0175777025712,-19.9434204434894,-11.0938250177413
1,7.8,-26.3654239880696,-16.1234150988017,-17.8283571526938,-34.7448099077043,-25.469714351515,-20.2977463092461,-11.0132019224702
1,7.9,-27.307291789877,-16.6872931526267,-18.3684870404851,-36.2883180573992,-25.950735183889,-20.633498464998,-10.9150814695079
1,8,-28.3431767767744,-17.2797615965996,-18.9626171602618,-37.8912978836407,-26.465924303841,-20.9489661954428,-10.7966862462772
1,8.1,-29.4926574819259,-17.9114442212108,-19.6290246114897,-39.4127746597207,-27.0217882466088,-21.2419065990491,-10.6549859298121
1,8.2,-30.782656304954,-18.5978796572337,-20.3940408140193,-40.5696241647407,-27.6258114133589,-21.5095211796645,-10.4868057397425
1,8.3,-32.2511800905846,-19.362212455685,-21.2962858120887,-41.0336421225616,-28.2851690587727,-21.7493618535495,-10.2891003856527
1,8.4,-33.9528377588404,-20.2392869406589,-22.3933177813843,-40.7476219319016,-29.0026314761437,-21.9619033080729,-10.0595077158613
1,8.5,-35.9647472104697,-21.2814705476396,-23.7717288982036,-40.0084316441795,-29.7656414590198,-22.1557440336792,-9.79729667629023
1,8.6,-38.3773697114346,-22.5657598780506,-25.5602887895326,-39.1547772794036,-30.5218738312075,-22.3562881169908,-9.50470122059527
1,8.7,-41.1619777949097,-24.1993996088643,-27.9336088600564,-38.3635971105251,-31.1421046876641,-22.6161644820236,-9.18826688216323
1,8.8,-43.4131059051198,-26.3163647794064,-31.0093750112439,-37.6545251505974,-31.4225074501773,-23.0166174198247,-8.85926785608192
1,8.9,-42.8078806939087,-29.0466213528615,-34.0977822985004,-36.9636660918155,-31.2374747191825,-23.6377797880239,-8.53202602178202
1,9,-40.0397197101469,-32.3919942080996,-34.6723441073929,-36.2408872767676,-30.7294925408456,-24.4949590798064,-8.22001116740834
1,9.1,-37.1609603299138,-35.7229189425113,-33.244832080555,-35.5019301140029,-30.1802056522973,-25.5015949404956,-7.93176546206159
1,9.2,-34.4915463250735,-37.1017427248372,-32.2160650933086,-34.7969437107768,-29.736712138871,-26.5154039634157,-7.66960360924249
1,9.3,-32.1873585391022,-36.1065095023194,-32.0612285560908,-34.1645995694127,-29.362485877547,-27.4158724284112,-7.43192671723337
1,9.4,-32.1326213943784,-34.5070720683783,-32.6914531662905,-33.6192594651146,-28.9448306264578,-28.1382362756763,-7.21708705511177
1,9.5,-31.5190874065036,-32.9999910021679,-34.031774931885,-33.1572377299556,-28.4032889199794,-28.664761942802,-7.02622350426102
1,9.6,-31.6985147928864,-31.6129161255592,-36.1332459552955,-32.764877929228,-27.7447107330831,-29.0079746878089,-6.86401385633129
1,9.7,-32.4500817731341,-30.2576717887325,-39.2918486413801,-32.4251786944914,-27.0495989811732,-29.2024856572702,-6.73768972354584
1,9.8,-32.9292353930018,-28.8517758985616,-44.5493111621342,-32.1247415500633,-26.4134425046453,-29.3000612987249,-6.65511312522007
1,9.9,-32.5021103275157,-28.0577801791072,-58.3313959398588,-31.8610117468556,-25.8964577045356,-29.3575660308975,-6.62266439370165
1,10,-31.3182849523702,-28.2197112765587,-47.9091686522022,-31.6469214895257,-25.5109493877079,-29.4196894055511,-6.64357243800993
1,10.1,-29.7953469998475,-27.9509977624614,-41.2109186723479,-31.5104560395552,-25.236777379405,-29.509089646053,-6.71717271474259
1,10.2,-28.1722999899599,-27.5021593440652,-37.5631084690081,-31.489815577373,-25.0431136982261,-29.629479351404,-6.83931423848735
1,10.3,-26.5331011564649,-27.0533823515226,-35.089590535422,-31.6261870465376,-24.9036200702557,-29.7749538296893,-7.0037831728849
1,10.4,-24.9034588488684,-26.6402843036441,-33.2471284276288,-31.9543684313301,-24.8031678187604,-29.9376530342226,-7.20432167292224
1,10.5,-23.3022304389734,-26.2651999098014,-31.8038454431822,-32.4900891895716,-24.7386954692633,-30.1113879570465,-7.43671388939044
1,10.6,-21.7658094964781,-25.9239752849233,-30.6383827571593,-33.2145691716963,-24.716636895463,-30.2924328725868,-7.70045332408298
1,10.7,-20.3613160868704,-25.61202344573,-29.6775574698483,-34.0607743541468,-24.7483263370902,-30.4791044199039,-7.99957166395924
1,10.8,-19.1866911120313,-25.3256083999728,-28.8722211665075,-34.9103880352025,-24.8445693870558,-30.6710711498671,-8.3422316436974
1,10.9,-18.3445118135279,-25.0619367403784,-28.186817673288,-35.6152917519293,-25.0109550247398,-30.8687582328335,-8.7387622506334
1,11,-17.8898005490263,-24.8189677984798,-27.5945521675055,-36.0516355556203,-25.245481820629,-31.072926873978,-9.19817122763517
1,11.1,-17.291495647077,-24.1222064300825,-27.1586923198313,-38.2844064332157,-25.3408500092928,-30.4416701337324,-9.6522015601033
1,11.2,-16.7180307903709,-23.4863328352582,-26.8081457124701,-41.7332993454835,-25.4430099961372,-29.5941874515623,-10.1424770313123
1,11.3,-16.1534725460786,-22.9552731457835,-26.5616918963803,-48.1057302810787,-25.5498458708485,-28.5006271674221,-10.6804834028926
1,11.4,-15.575501619882,-22.5397919894251,-26.4235577016557,-56.9999607476709,-25.6578373320028,-27.3198211153985,-11.2802462594578
1,11.5,-14.9745668624347,-22.2302486943177,-26.3786066810708,-44.2999701227079,-25.7656326764865,-26.3051974619509,-11.9523094472043
1,11.6,-14.3692692822896,-22.0187776900417,-26.3793584641408,-38.7454389219455,-25.8788036514256,-25.5592142122944,-12.6939053580083
1,11.7,-13.8171882609862,-21.911833330796,-26.3140053461642,-35.3036374078042,-26.0092639009649,-25.063418734987,-13.4776568423255
1,11.8,-13.4130780585796,-21.9220159724699,-25.9889282050917,-33.0417864101544,-26.1675328138509,-24.8295863917781,-14.2085356129537
1,11.9,-13.2683570616837,-22.0371537361362,-25.372234890954,-31.7767181370462,-26.4397469099725,-24.9096825110153,-14.7000671952636
1,12,-13.4718108987658,-22.1768161064459,-25.1862008681848,-31.7962513491807,-27.2527184064114,-25.0747341160898,-14.9271404296224
1,12.1,-13.9148725912297,-22.1771519540563,-25.867181430757,-32.5861811574949,-29.3197122003183,-25.2429171359278,-14.8759732150263
1,12.2,-14.4218975372225,-22.255963716126,-26.4508117240799,-32.6737502482622,-30.7085503640143,-25.7708140567435,-14.7621726264967
1,12.3,-14.9413183952843,-22.6217102734032,-26.7625384270982,-32.1954701049063,-31.3332852874488,-26.2865475954335,-14.8227646405013
1,12.4,-15.451027936396,-23.2149568126561,-26.9263707666414,-31.7593610126435,-31.5180331740399,-26.4645225344509,-15.1251640591215
1,12.5,-15.9525217471587,-23.9333332414971,-27.0218001610058,-31.5649464508668,-31.3624121200152,-26.38281705769,-15.6607301413999
1,12.6,-16.4587100722549,-24.6938202993885,-27.1009344944256,-31.510033282959,-30.9947696621684,-26.2873635769847,-16.3773379901448
1,12.7,-16.9772023835581,-25.4342110524097,-27.198737655519,-31.4900611176168,-30.5182879382117,-26.3103928777476,-17.214842353214
1,12.8,-17.5040584867307,-26.1092634866417,-27.3317641369805,-31.4574900113923,-30.0004165459838,-26.4586536414484,-18.1238147103438
1,12.9,-18.0273781735359,-26.6886130108373,-27.4995513464128,-31.3981333982604,-29.4804066933259,-26.6915414734984,-19.0697213234389
1,13,-18.5337225783307,-27.1557819032368,-27.6909467916317,-31.3118223204938,-28.9788673332734,-26.9667428459082,-20.0306945880122
1,13.1,-19.0124282280163,-27.5068967316431,-27.8913949435556,-31.2032523624432,-28.5051052398568,-27.2533871576973,-20.9939542240587
1,13.2,-19.4569707068412,-27.7482850513212,-28.0878312709814,-31.0781318977474,-28.0619961026315,-27.532032426038,-21.9527609354343
1,13.3,-19.8645267428023,-27.8930852083587,-28.2706692827515,-30.9416885646318,-27.6490055531884,-27.7915673195147,-22.9042524721252
1,13.4,-20.2349270879265,-27.9576786303025,-28.433908886461,-30.7982020567747,-27.2639786224186,-28.0263068439651,-23.8480176356167
1,13.5,-20.5696451772952,-27.958773688004,-28.5744576913441,-30.650969830591,-26.9041526516325,-28.2339174391123,-24.7851855757505
1,13.6,-20.8710358305688,-27.9115396155794,-28.6913089067609,-30.5024359166455,-26.5666980685089,-28.4140669667891,-25.7178480069856
1,13.7,-21.1418311849407,-27.828736064797,-28.7848374238277,-30.3543614052071,-26.2489817651584,-28.5675793267075,-26.6486862679917
1,13.8,-21.3848349801342,-27.720549252509,-28.8562731750365,-30.2079856905659,-25.9486738402646,-28.6959136913119,-27.5807163106434
1,13.9,-21.6027515240309,-27.5948216143641,-28.9073325367282,-30.0641609154105,-25.6637704612041,-28.8008463328066,-28.5170898591287
